d,n,k,theta1,theta2,log_cost,pf_inv,eta,metric,qubits_in,qubits_out,qubits_max,depth,gates,dw,toffoli_count,t_count,t_depth
488,511,170,1.0910822090137975,1.0910822090137975,154.47185807509572,38900725,0.465560312222031,dw,56,56,822,334545109854.221,8195382676574.19,73712249633591.9,371500674314.862,2705536324460.59,220274614482.503
496,511,170,1.091538272223718,1.091538272223718,156.62028785324426,49221713,0.465939375075854,dw,57,57,823,467752300908.821,11301780164509.0,102442444824686.0,511981028501.918,3731296291490.42,306250431970.388
504,511,170,1.0919815229869414,1.0919815229869414,158.76850094954406,62251108,0.466304102660969,dw,58,58,824,653891697069.495,15586265931842.9,142384917036883.0,705611944295.331,5146164598970.66,425768463769.827
512,511,170,1.0924113333869758,1.0924113333869758,160.91650539301872,78702253,0.466655472409154,dw,59,59,825,913883321953.48,21494077517866.9,197904106286820.0,972432949822.366,7097233152106.69,591860368674.608
520,1023,341,1.0895091459696742,1.0895091459696742,163.6435664297182,198578068,0.450455582323224,dw,59,59,1593,1015387593660.96,45278664464779.6,424999596759608.0,2085219562317.15,14906869873692.8,710499093687.698
528,1023,341,1.0899781906587593,1.0899781906587593,165.78731902947905,252233113,0.450915391942205,dw,60,60,1594,1419740781766.75,62493007929698.7,588950167077584.0,2877040843474.43,20574973551635.6,987809062446.18
536,1023,341,1.090433817334377,1.090433817334377,167.93087898776994,320238751,0.451360254501712,dw,61,61,1595,1984721703699.41,86249890434394.3,816163684726115.0,3969443407398.83,28397584690007.3,1373240865483.93
544,1023,341,1.0908765869249144,1.0908765869249144,170.0742544055372,406400267,0.451791217066855,dw,62,62,1596,2773996192852.72,119035179414694.0,1.13105762552472e+15,5476497638466.97,39193420436130.5,1908909751267.21
552,1023,341,1.0913070300479981,1.0913070300479981,172.2174529064695,515524608,0.452209248648254,dw,63,63,1597,3876412743932.84,164279018448350.0,1.56747631805526e+15,7555552574688.44,54092232793200.3,2653320682233.93
560,1023,341,1.0917256493133332,1.0917256493133332,174.3604816516856,653682383,0.452615245023278,dw,64,64,1598,5415944731791.06,226714440211068.0,2.17233134955099e+15,10423652423497.4,74652946730165.3,3687741262098.94
568,1023,341,1.092133116505503,1.092133116505503,176.50334735824208,828520640,0.453010039996647,dw,65,65,1599,7565666955612.53,312876936680492.0,3.0106942742061e+15,14380399225804.5,103028238839706.0,5125129227995.58
576,1023,341,1.0925287244132846,1.0925287244132846,178.64605630634827,1049831523,0.453394357533535,dw,66,66,1600,10566015691937.3,431743457372875.0,4.17237198329152e+15,19837176519666.6,142175064090039.0,7121701753144.02
584,1023,341,1.092915237271558,1.092915237271558,180.78861438664097,1329569085,0.453768979185683,dw,67,67,1601,14755319298765.4,595821936914071.0,5.78303121373757e+15,27367008675192.1,196213592224745.0,9896424808130.82
592,1023,341,1.093291065172468,1.093291065172468,182.93102708055105,1683361521,0.454134485308589,dw,68,68,1602,20601187593382.5,822199311068429.0,8.01521731511483e+15,37752415541940.2,270772546980965.0,13750553441516.1
600,1023,341,1.0936771073217926,1.0936771073217926,185.06892788414646,2125692070,0.454492135793676,dw,68,68,1602,28465307782159.4,1.13605860544468e+15,1.10748774448773e+16,52163697993143.9,374134930514794.0,18999571462254.7
608,1023,341,1.094033409495969,1.094033409495969,187.21103122093317,2689578851,0.454841166458267,dw,69,69,1603,39734757089329.7,1.56759722531143e+15,1.53493112181778e+16,71954666502190.5,516270035373419.0,26395902463597.3
616,1023,341,1.0943808607367702,1.0943808607367702,189.35300409794817,3401919646,0.455182750817827,dw,70,70,1604,55457485495742.2,2.16303629468031e+15,2.12741004319187e+16,99253350209669.5,712395456204651.0,36669318680595.9
624,1023,341,1.0947216341540653,1.0947216341540653,191.49485064849466,4300582152,0.45551740701934,dw,71,71,1605,77402534013914.1,2.98509218359897e+15,2.94913486323661e+16,136929194121613.0,983173064841865.0,50946240632714.8
