d,n,k,theta1,theta2,log_cost,pf_inv,eta,metric,qubits_in,qubits_out,qubits_max,depth,gates,dw,toffoli_count,t_count,t_depth
800,1023,341,1.0765870774043955,1.0765870774043955,245.5048914956127,35625842783753,0.46093345611133,ge19,84,84,1618,7.37126115312638e+15,2.48232399936759e+17,2.60802768479515e+18,1.13381245849293e+16,8.17943556871011e+16,4.6033377883982e+15
808,1023,341,1.0770009727246521,1.0770009727246521,247.6417103786367,45355855016795,0.461182388584518,ge19,85,85,1619,1.02424195083036e+16,3.4160403513181e+17,3.60684868531922e+18,1.55977998873967e+16,1.12564801276147e+17,6.37351353101196e+15
816,1023,341,1.0774095298748891,1.0774095298748891,249.7785002030954,57704023387001,0.461428468185821,ge19,86,86,1620,1.42344863994539e+16,4.70228412426055e+17,4.98973388553771e+18,2.14638121692553e+16,1.54954153127914e+17,8.82650239336217e+15
824,1023,341,1.0778134408234468,1.0778134408234468,251.91526019441912,73357571132717,0.461671763101209,ge19,87,87,1621,1.97873382992905e+16,6.47504966920446e+17,6.90537606245209e+18,2.95460061155097e+16,2.13379250432115e+17,1.22272636274368e+16
832,1023,341,1.0782059474425445,1.0782059474425445,254.05198960989512,93296113629489,0.46191209102283,ge19,88,88,1622,2.74910144314731e+16,8.9120243212454e+17,9.5523049073622e+18,4.0652735626464e+16,2.93697439891452e+17,1.69297946016214e+16
840,1023,341,1.0785926843631668,1.0785926843631668,256.1886877316889,118594816427040,0.462149674630524,ge19,89,89,1623,3.81966042795463e+16,1.22681942387728e+18,1.32163537321939e+19,5.59437837057982e+16,4.04314342813706e+17,2.34438049210982e+16
848,1023,341,1.0783670807462529,1.0783670807462529,258.32774645993095,167573197684710,0.462364696629718,ge19,89,89,1623,4.89126725145775e+16,1.57100396347968e+18,1.69242055447786e+19,7.16388281953467e+16,5.17744847114151e+17,3.0020971084473e+16
856,1023,341,1.079096091239325,1.079096091239325,260.5418003282911,200130706655510,0.46260850171456,ge19,90,90,1624,7.08744998725588e+16,2.25556753524345e+18,2.44229096904596e+19,1.02821717618144e+17,7.43376856617862e+17,4.33569383690085e+16
864,1023,341,1.0794637670079972,1.0794637670079972,262.6783428507602,254270679414001,0.462838004714509,ge19,91,91,1625,9.84459205218707e+16,3.10464817645802e+18,3.37890225729648e+19,1.41481379211544e+17,1.02324652850125e+18,6.00280003182138e+16
872,1023,341,1.079829111598298,1.079829111598298,264.8148523649236,322738205091351,0.463064983593305,ge19,92,92,1626,1.36799921514473e+17,4.27550609722138e+18,4.67717151733353e+19,1.94774609442539e+17,1.4091917565673e+18,8.31479076863059e+16
880,1023,341,1.0801819911822306,1.0801819911822306,266.9513282304159,410001970156588,0.463289130665568,ge19,93,93,1627,1.89936843924541e+17,5.88349487073807e+18,6.46955322277007e+19,2.67940372829094e+17,1.93924468272128e+18,1.15081439504924e+17
