d,n,k,theta1,theta2,log_cost,pf_inv,eta,metric,qubits_in,qubits_out,qubits_max,depth,gates,dw,toffoli_count,t_count,t_depth
528,1023,341,1.1009898794103095,1.1009898794103095,163.72173362735813,86405934,0.451305278616074,g,62,62,1596,3241396243217.22,139091821524343.0,1.32163337054466e+15,6399251346145.33,45797253106486.6,2230548445719.07
536,1023,341,1.101316549932095,1.101316549932095,165.86252922214197,108781601,0.45173890795335,g,63,63,1597,4540213910625.83,192410337611891.0,1.83589268066196e+15,8849373678217.27,63355046020030.7,3107678223812.59
544,1023,341,1.1016340123936563,1.1016340123936563,168.0030784004845,136902847,0.452159432736193,g,64,64,1598,6358249261750.44,266159828707018.0,2.5502889862379e+15,12237233503770.9,87641596607947.0,4329360678227.06
552,1023,341,1.10194264856796,1.10194264856796,170.14338991741175,172234657,0.452567762308393,g,65,65,1599,8902626982581.78,368166702957092.0,3.54272640325095e+15,16921618532649.2,121234781340965.0,6030811826910.24
560,1023,341,1.1022420463106788,1.1022420463106788,172.2834721062839,216630869,0.452964711654399,g,66,66,1600,12462201746452.9,509224501019582.0,4.92114936538515e+15,23397172886722.9,167689920558888.0,8399768334006.25
568,1023,341,1.1025340556732033,1.1025340556732033,174.42333289046945,272363809,0.453351104283608,g,67,67,1601,17442918624594.4,704347588141311.0,6.83637817808212e+15,32351757061596.5,231952806504292.0,11699003532718.3
576,1023,341,1.1028183226226842,1.1028183226226842,176.5629797708421,342328321,0.453727632077341,g,68,68,1602,24410194705997.4,974217878427753.0,9.49717167449521e+15,44732557762665.0,320836386877391.0,16292929002328.4
584,1023,341,1.1030954225633853,1.1030954225633853,178.70241984798545,430122761,0.454094960650163,g,69,69,1603,34155633381466.8,1.3474922219147e+15,1.31941273844329e+16,61851572506391.4,443780995424448.0,22689676076104.4
592,1023,341,1.1033652960250875,1.1033652960250875,180.84165984059118,540280210,0.454453683527496,g,70,70,1604,47783996378984.6,1.86374332605743e+15,1.83304657417798e+16,85519956136220.0,613823392737517.0,31595492932833.3
600,1023,341,1.1036282097463255,1.1036282097463255,182.9807060885971,678465314,0.454804355969155,g,71,71,1605,66839471018525.3,2.57771899893384e+15,2.54666874582674e+16,118242574596283.0,849000209242239.0,43993647206188.7
608,1023,341,1.1038844142698836,1.1038844142698836,185.1195645720954,851771416,0.45514748757279,g,72,72,1606,93479235022166.6,3.56512301695841e+15,3.53815703215235e+16,163481949833287.0,1.17425285637434e+15,61252375459730.2
616,1023,341,1.1041341456533136,1.1041341456533136,187.2582409274916,1069079711,0.455483545589315,g,73,73,1607,130716362085634.0,4.93063298070191e+15,4.915717152026e+16,226024228798185.0,1.62406965444544e+15,85275459690176.7
624,1023,341,1.104377625191533,1.104377625191533,189.39674046417443,1341508776,0.455812957986981,g,74,74,1608,182758787403376.0,6.81898328312753e+15,6.82969180582695e+16,312484890962023.0,2.24613813268524e+15,118711623067818.0
