d,n,k,theta1,theta2,log_cost,pf_inv,eta,metric,gates,depth
736,1023,341,1.0377737526311257,1.0377737526311257,238.50606247351234,365906670284101,0.457471422846733,classical,3.10846497032941e+23,1.02033972438188e+21
744,1023,341,1.0378740779365463,1.0378740779365463,240.86314372096044,421514782116130,0.457736718206012,classical,5.00836148625352e+23,1.64397225874069e+21
752,1023,341,1.037972328836025,1.037972328836025,243.22006776749367,473359247390385,0.457998446375359,classical,8.06915095019473e+23,2.64866271137198e+21
760,1023,341,1.0380685690452254,1.0380685690452254,245.57683695063,520035953557572,0.458256751539163,classical,1.29999752200999e+24,4.26718372561952e+21
768,1023,341,1.0381628597309063,1.0381628597309063,247.93345349276734,561045045815173,0.458511765728252,classical,2.09430410147459e+24,6.874459548579e+21
776,1023,341,1.0382552596359045,1.0382552596359045,250.28991951060885,596586732545116,0.458763609739947,classical,3.37380139573454e+24,1.107435219345e+22
784,1023,341,1.0383458251970221,1.0383458251970221,252.64623702391583,627281101471808,0.459012393998021,classical,5.43477850341606e+24,1.78394173754015e+22
792,1023,341,1.0384346106559101,1.0384346106559101,255.00240796362954,653922626365321,0.459258219355916,classical,8.75440753851481e+24,2.87359512178395e+22
800,1023,341,1.0385216681638083,1.0385216681638083,257.35843417939805,677313513268617,0.459501177846523,classical,1.41011410400112e+25,4.62863648121162e+22
808,1023,341,1.0386070478801537,1.0386070478801537,259.7143174465483,698173311155487,0.459741353381595,classical,2.27124689189636e+25,7.45526634464585e+22
816,1023,341,1.0386907980658835,1.0386907980658835,262.0700594725361,717103393163402,0.459978822403815,classical,3.65811232981475e+25,1.20075901192015e+23
824,1023,341,1.0387729651714395,1.0387729651714395,264.42566190290813,734583888309719,0.460213654494331,classical,5.89158759795298e+25,1.93388727981388e+23
832,1023,341,1.0388535939200418,1.0388535939200418,266.7811263268064,750986441192855,0.460445912938477,classical,9.48834052729546e+25,3.11450534294944e+23
840,1023,341,1.0389327273862285,1.0389327273862285,269.1364542820451,766592587612439,0.460675655252226,classical,1.52802626761642e+26,5.01567788483973e+23
848,1023,341,1.0390104070704513,1.0390104070704513,271.49164725979114,781612345027733,0.46090293367183,classical,2.46067369440657e+26,8.07705135206489e+23
856,1023,341,1.0390866729694894,1.0390866729694894,273.846706708868,796200622099588,0.461127795608934,classical,3.96241446256182e+26,1.30064482605016e+24
864,1023,341,1.0391615636431337,1.0391615636431337,276.2016340397144,810470703666532,0.461350284073333,classical,6.38040817012191e+26,2.09434044645394e+24
872,1023,341,1.0392351162774787,1.0392351162774787,278.5564306280177,824504869584866,0.461570438065448,classical,1.02735310733147e+27,3.37224062803701e+24
880,1023,341,1.039307366744894,1.039307366744894,280.91109781804533,838362531556626,0.461788292940439,classical,1.65414569325159e+27,5.42965925899095e+24
888,1023,341,1.0393783496607942,1.0393783496607942,283.26563692569437,852086355581522,0.462003880745784,classical,2.66324153444445e+27,8.74197122745594e+24
896,1023,341,1.0394480984377008,1.0394480984377008,285.6200492412787,865706811474658,0.462217230534052,classical,4.28775702403799e+27,1.40743706681044e+25
904,1023,341,1.039516645336345,1.039516645336345,287.97433603207475,879245523855780,0.462428368652474,classical,6.90291676767009e+27,2.26585155676025e+25
912,1023,341,1.0395840215143723,1.0395840215143723,290.3284985446361,892717724827725,0.462637319010842,classical,1.11126596271241e+28,3.64768082295227e+25
920,1023,341,1.039650257072548,1.039650257072548,292.6825380069028,906134040788364,0.462844103329156,classical,1.78890116244938e+28,5.87198805990276e+25
928,1023,341,1.0397153810987125,1.0397153810987125,295.0364556301119,919501789598565,0.463048741366371,classical,2.87963667506839e+28,9.45227859861609e+25
936,1023,341,1.0397794217095062,1.0397794217095062,297.3902526105286,932825919692032,0.463251251131481,classical,4.63523892182489e+28,1.52149644569995e+26
944,1023,341,1.0398424060901021,1.0398424060901021,299.74393013100746,946109688471449,0.463451649078147,classical,7.46087389660012e+28,2.44899848895458e+26
952,1023,341,1.0399010117745107,1.0399010117745107,302.0974893290563,958635634603069,0.463649812830297,classical,1.19975030543318e+29,3.93812672060784e+26
960,1023,341,1.039961961711026,1.039961961711026,304.4509313855504,971833921858673,0.46384603149213,classical,1.93095254265458e+29,6.33826536239809e+26
968,1023,341,1.040021931753649,1.040021931753649,306.8042574604586,984995749392510,0.464040180102001,classical,3.10767584053186e+29,1.0200806960551e+27
976,1023,341,1.0400809457224245,1.0400809457224245,309.15746869556443,998121309163786,0.464232270546716,classical,5.00130443387553e+29,1.64165581285919e+27
984,1023,341,1.0401390266779642,1.0401390266779642,311.51056622493934,1011210508531536,0.464422313920144,classical,8.04849043416916e+29,2.64188098938755e+27
992,1023,341,1.0401961969510867,1.0401961969510867,313.86355117573277,1024263062954877,0.464610320639967,classical,1.29517732415153e+30,4.25136164172502e+27
1000,1023,341,1.0402524781711824,1.0402524781711824,316.2164246688637,1037278562097471,0.464796300554397,classical,2.08414434233205e+30,6.8411105935731e+27
1008,1023,341,1.0403078912932064,1.0403078912932064,318.5691878196262,1050256516794660,0.46498026303954,classical,3.35359199232265e+30,1.10080157305848e+28
1016,1023,341,1.0403624566236043,1.0403624566236043,320.92184173821,1063196392337468,0.465162217088072,classical,5.39605831612013e+30,1.77123200923031e+28
1024,1023,341,1.0404161938447745,1.0404161938447745,323.27438753015036,1076097631850709,0.465342171389829,classical,8.68214713516074e+30,2.84987596755645e+28
